日期,省市,确诊,死亡,治愈
1/22/2020,江苏,1,0,0
1/23/2020,江苏,5,0,0
1/24/2020,江苏,9,0,0
1/25/2020,江苏,18,0,1
1/26/2020,江苏,33,0,1
1/27/2020,江苏,47,0,1
1/28/2020,江苏,70,0,1
1/29/2020,江苏,99,0,1
1/30/2020,江苏,129,0,1
1/31/2020,江苏,168,0,5
2/01/2020,江苏,202,0,6
2/02/2020,江苏,236,0,7
2/03/2020,江苏,271,0,8
2/04/2020,江苏,308,0,12
2/05/2020,江苏,341,0,23
2/06/2020,江苏,373,0,34
2/07/2020,江苏,408,0,43
2/08/2020,江苏,439,0,51
2/09/2020,江苏,468,0,71
2/10/2020,江苏,492,0,81
2/11/2020,江苏,515,0,93
2/12/2020,江苏,543,0,125
2/13/2020,江苏,570,0,139
2/14/2020,江苏,593,0,157
2/15/2020,江苏,604,0,186
2/16/2020,江苏,617,0,218
2/17/2020,江苏,626,0,258
2/18/2020,江苏,629,0,280
2/19/2020,江苏,631,0,318
2/20/2020,江苏,631,0,356
2/21/2020,江苏,631,0,373
2/22/2020,江苏,631,0,401
2/23/2020,江苏,631,0,418
2/24/2020,江苏,631,0,452
2/25/2020,江苏,631,0,458
2/26/2020,江苏,631,0,478
2/27/2020,江苏,631,0,498
2/28/2020,江苏,631,0,515
2/29/2020,江苏,631,0,523
3/01/2020,江苏,631,0,536
3/02/2020,江苏,631,0,543
3/03/2020,江苏,631,0,562
3/04/2020,江苏,631,0,577
3/05/2020,江苏,631,0,583
3/06/2020,江苏,631,0,594
3/07/2020,江苏,631,0,606
3/08/2020,江苏,631,0,612
3/09/2020,江苏,631,0,621
3/10/2020,江苏,631,0,627
3/11/2020,江苏,631,0,627
3/12/2020,江苏,631,0,629
3/13/2020,江苏,631,0,630
3/14/2020,江苏,631,0,630
3/15/2020,江苏,631,0,631
3/16/2020,江苏,631,0,631
3/17/2020,江苏,631,0,631
3/18/2020,江苏,631,0,631
3/19/2020,江苏,631,0,631
3/20/2020,江苏,631,0,631
3/21/2020,江苏,631,0,631
3/22/2020,江苏,633,0,631
