日期,股票代码,名称,收盘价,涨跌额,涨跌幅,成交量,成交金额
1991/1/2,'000001,上证指数,128.84,1.23,0.9639,91,59000
1991/1/3,'000001,上证指数,130.14,1.3,1.009,141,93000
1991/1/4,'000001,上证指数,131.44,1.3,0.9989,420,261000
1991/1/7,'000001,上证指数,132.06,0.62,0.4717,217,141000
1991/1/8,'000001,上证指数,132.68,0.62,0.4695,2926,1806000
1991/1/9,'000001,上证指数,133.34,0.66,0.4974,5603,3228000
1991/1/10,'000001,上证指数,133.97,0.63,0.4725,9990,5399000
1991/1/11,'000001,上证指数,134.6,0.63,0.4703,13327,7115000
1991/1/14,'000001,上证指数,134.67,0.07,0.052,12530,6883000
1991/1/15,'000001,上证指数,134.74,0.07,0.052,1446,1010000
1991/1/16,'000001,上证指数,134.24,-0.5,-0.3711,509,270000
1991/1/17,'000001,上证指数,134.25,0.01,0.0074,658,334000
1991/1/18,'000001,上证指数,134.24,-0.01,-0.0074,3004,1570000
1991/1/21,'000001,上证指数,134.24,0,0,2051,1029000
1991/1/22,'000001,上证指数,133.72,-0.52,-0.3874,354,180000
1991/1/23,'000001,上证指数,133.17,-0.55,-0.4113,1095,575000
1991/1/24,'000001,上证指数,132.61,-0.56,-0.4205,1857,917000
1991/1/25,'000001,上证指数,132.05,-0.56,-0.4223,3447,1722000
1991/1/28,'000001,上证指数,131.46,-0.59,-0.4468,5107,2565000
1991/1/29,'000001,上证指数,130.95,-0.51,-0.388,1387,710000
1991/1/30,'000001,上证指数,130.44,-0.51,-0.3895,527,260000
1991/1/31,'000001,上证指数,129.97,-0.47,-0.3603,510,244000
1991/2/1,'000001,上证指数,129.51,-0.46,-0.3539,345,140000
1991/2/4,'000001,上证指数,129.05,-0.46,-0.3552,553,273000
1991/2/5,'000001,上证指数,128.58,-0.47,-0.3642,8562,4250000
1991/2/6,'000001,上证指数,129.14,0.56,0.4355,6641,3847000
1991/2/7,'000001,上证指数,129.79,0.65,0.5033,2133,1504000
1991/2/8,'000001,上证指数,130.38,0.59,0.4546,1234,879000
